Sentence #	Word	Lemma	Pos	Tag
	toga	taj	Pd-nsg	O
	.	.	Z	O
Sentence: 16	"	"	Z	O
	Deceniju	decenija	Ncfsa	O
	kasnije	kasno	Rgc	O
	vidimo	videti	Vmr1p	O
	da	da	Cs	O
	je	biti	Var3s	O
	ekonomija	ekonomija	Ncfsn	O
	užasno	užasno	Rgp	O
	nestrukturirana	nestrukturiran	Agpfsny	O
	.	.	Z	O
Sentence: 17	Većina	većina	Ncfsn	O
	proizvodnih	proizvodni	Agpfpgy	O
	kompanija	kompanija	Ncfpg	O
	više	mnogo	Rgc	O
	ne	ne	Qz	O
	postoji	postojati	Vmr3s	O
	ili	ili	Cc	O
	se	sebe	Px--sa	O
	koriste	koristiti	Vmr3p	O
	za	za	Sa	O
	skladištenje	skladištenje	Ncnsa	O
	robe	roba	Ncfsg	O
	;	;	Z	O
	efikasnost	efikasnost	Ncfsn	O
	kao	kao	Cs	O
	koncept	koncept	Ncmsn	O
	su	biti	Var3p	O
	,	,	Z	O
	čini	činiti	Vmr3s	O
	se	sebe	Px--sa	O
	,	,	Z	O
	bile	biti	Vap-pf	O
	samo	samo	Rgp	O
	reči	reč	Ncfpn	O
	,	,	Z	O
	a	a	Cc	O
	nezaposlenost	nezaposlenost	Ncfsn	O
	se	sebe	Px--sa	O
	produbljuje	produbljivati	Vmr3s	O
	.	.	Z	O
Sentence: 18	Na	na	Sl	O
	kraju	kraj	Ncmsl	O
	je	biti	Var3s	O
	i	i	Cc	O
	broj	broj	Ncmsn	O
	stranih	stran	Agpmpgy	O
	investitora	investitor	Ncmpg	O
	samo	samo	Rgp	O
	simboličan	simboličan	Agpmsnn	O
	,	,	Z	O
	a	a	Cc	O
	i	i	Cc	O
	suma	suma	Ncfsn	O
	koju	koji	Pi-fsa	O
	su	biti	Var3p	O
	uložili	uložiti	Vmp-pm	O
	je	biti	Var3s	O
	simbolična	simboličan	Agpfsny	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	Sejdiu	Sejdiu	Npmsn	B-per
	za	za	Sa	O
	SETimes	SETimes	Xf	B-org
	.	.	Z	O
Sentence: 19	Privatizacija	privatizacija	Ncfsn	O
	javnih	javan	Agpfpgy	O
	i	i	Cc	O
	državnih	državni	Agpfpgy	O
	kompanija	kompanija	Ncfpg	O
	poslednjih	poslednji	Agpfpgy	O
	godina	godina	Ncfpg	O
	donela	doneti	Vmp-sf	O
	je	biti	Var3s	O
	više	mnogo	Rgc	O
	od	od	Sg	O
	600	600	Mdc	O
	miliona	milion	Ncmpg	O
	evra	evro	Ncmpg	O
	,	,	Z	O
	koji	koji	Pi-mpn	O
	su	biti	Var3p	O
	prebačeni	prebaciti	Appmpny	O
	u	u	Sa	O
	banke	banka	Ncfpa	O
	u	u	Sl	O
	inostranstvu	inostranstvo	Ncnsl	O
	,	,	Z	O
	a	a	Cc	O
	kosovska	kosovski	Agpfsny	O
	vlada	vlada	Ncfsn	O
	ne	ne	Qz	O
	koristi	koristiti	Vmr3s	O
	ta	taj	Pd-npa	O
	sredstva	sredstvo	Ncnpa	O
	.	.	Z	O
Sentence: 20	Sejdiu	Sejdiu	Npmsn	B-per
	kaže	kazati	Vmr3s	O
	da	da	Cs	O
	je	biti	Var3s	O
	to	taj	Pd-nsn	O
	premalo	premalo	Rgp	O
	i	i	Cc	O
	da	da	Cs	O
	su	biti	Var3p	O
	zemlje	zemlja	Ncfpn	O
	u	u	Sl	O
	regionu	region	Ncmsl	O
	prodale	prodati	Vmp-pf	O
	samo	samo	Rgp	O
	jednu	jedan	Mlcfsa	O
	ili	ili	Cc	O
	nekoliko	nekoliko	Rgp	O
	kompanija	kompanija	Ncfpg	O
	po	po	Sl	O
	toj	taj	Pd-fsl	O
	ceni	cena	Ncfsl	O
	.	.	Z	O
Sentence: 21	Seb	Seb	Npmsn	B-per
	Bitići	Bitići	Npmsn	I-per
	,	,	Z	O
	izvršni	izvršan	Agpmsny	O
	direktor	direktor	Ncmsn	O
	Instituta	institut	Ncmsg	B-org
	za	za	Sa	I-org
	balkansku	balkanski	Agpfsay	I-org
	politiku	politika	Ncfsa	I-org
	,	,	Z	O
	slaže	slagati	Vmr3s	O
	se	sebe	Px--sa	O
	sa	sa	Si	O
	tim	taj	Pd-nsi	O
	.	.	Z	O
Sentence: 22	"	"	Z	O
	Glavni	glavni	Agpmpny	O
	nedostaci	nedostatak	Ncmpn	O
	su	biti	Var3p	O
	prodaja	prodaja	Ncfsn	O
	po	po	Sl	O
	nižim	nizak	Agcfply	O
	cenama	cena	Ncfpl	O
	,	,	Z	O
	s	sa	Si	O
	obzirom	obzir	Ncmsi	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	vrednost	vrednost	Ncfsn	O
	[	[	Z	O
	kompanija	kompanija	Ncfpg	O
	]	]	Z	O
	smanjivala	smanjivati	Vmp-sf	O
	zbog	zbog	Sg	O
	lošeg	loš	Agpnsgy	O
	upravljanja	upravljanje	Ncnsg	O
	,	,	Z	O
	nefunkcionisanje	nefunkcionisanje	Ncnsn	O
	preduzeća	preduzeće	Ncnsg	O
	i	i	Cc	O
	optužbe	optužba	Ncfpn	O
	za	za	Sa	O
	korupciju	korupcija	Ncfsa	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	on	on	Pp3msn	O
	za	za	Sa	O
	SETimes	SETimes	Xf	B-org
	.	.	Z	O
Sentence: 23	Tu	tu	Rgp	O
	su	biti	Var3p	O
	takođe	takođe	Rgp	O
	troškovi	trošak	Ncmpn	O
	izgubljenih	izgubljen	Agpfpgy	O
	mogućnosti	mogućnost	Ncfpg	O
	:	:	Z	O
	"	"	Z	O
	U	u	Sl	O
	nekim	neki	Pi-mpl	O
	slučajevima	slučaj	Ncmpl	O
	je	biti	Var3s	O
	privatizacija	privatizacija	Ncfsn	O
	mogla	moći	Vmp-sf	O
	da	da	Cs	O
	donese	doneti	Vmr3s	O
	bolje	dobar	Agcfpay	O
	usluge	usluga	Ncfpa	O
	i	i	Cc	O
	efikasnost	efikasnost	Ncfsa	O
	.	.	Z	O
	"	"	Z	O
Sentence: 24	Sejdiu	Sejdiu	Npmsn	B-per
	kaže	kazati	Vmr3s	O
	da	da	Cs	O
	je	biti	Var3s	O
	,	,	Z	O
	iz	iz	Sg	O
	ove	ovaj	Pd-fsg	O
	perspektive	perspektiva	Ncfsg	O
	,	,	Z	O
	proces	proces	Ncmsn	O
	"	"	Z	O
	bio	biti	Vap-sm	O
	prenagljen	prenagliti	Appmsnn	O
	…	…	Z	O
	bez	bez	Sg	O
	plana	plan	Ncmsg	O
	za	za	Sa	O
	ekonomski	ekonomski	Agpmsayn	O
	razvoj	razvoj	Ncmsan	O
	"	"	Z	O
	i	i	Cc	O
	da	da	Cs	O
	je	biti	Var3s	O
	privatizacija	privatizacija	Ncfsn	O
	dovela	dovesti	Vmp-sf	O
	do	do	Sg	O
	velikih	velik	Agpmpgy	O
	problema	problem	Ncmpg	O
	za	za	Sa	O
	radnike	radnik	Ncmpa	O
	.	.	Z	O
Sentence: 25	On	on	Pp3msn	O
	ukazuje	ukazivati	Vmr3s	O
	na	na	Sa	O
	kompanije	kompanija	Ncfpa	O
	u	u	Sl	O
	istočnom	istočni	Agpmsly	O
	regionu	region	Ncmsl	O
	Ana	Ana	Npfsn	B-loc
	Morava	Morava	Npfsn	I-loc
	,	,	Z	O
	gde	gde	Rgp	O
	je	biti	Var3s	O
	ranije	rano	Rgc	O
	bilo	biti	Vap-sn	O
	"	"	Z	O
	skoro	skoro	Rgp	O
	17.000	17.000	Mdc	O
	radnika	radnik	Ncmpg	O
	,	,	Z	O
	u	u	Sl	O
	preduzećima	preduzeće	Ncnpl	O
	koja	koji	Pi-npn	O
	su	biti	Var3p	O
	sada	sada	Rgp	O
	privatizovana	privatizovati	Appnpny	O
	.	.	Z	O
Sentence: 26	Danas	danas	Rgp	O
	ta	taj	Pd-npn	O
	preduzeća	preduzeće	Ncnpn	O
	zapošljavaju	zapošljavati	Vmr3p	O
	[	[	Z	O
	manje	malo	Rgc	O
	od	od	Sg	O
	]	]	Z	O
	1.700	1.700	Mdc	O
	njih	oni	Pp3-pg	O
	--	--	Z	O
	ni	ni	Qo	O
	10	10	Mdc	O
	odsto	odsto	Rgp	O
	radne	radni	Agpfsgy	O
	snage	snaga	Ncfsg	O
	nije	biti	Var3s	O
	zadržano	zadržati	Appnsny	O
	"	"	Z	O
	,	,	Z	O
	tvrdi	tvrditi	Vmr3s	O
	Sejdiu	Sejdiu	Npmsn	B-per
	.	.	Z	O
Sentence: 27	Bitići	Bitići	Npmsn	B-per
	kaže	kazati	Vmr3s	O
	da	da	Cs	O
	bi	biti	Vaa3p	O
	jači	jak	Agcmpny	O
	sindikati	sindikat	Ncmpn	O
	doneli	doneti	Vmp-pm	O
	bolje	dobar	Agcmpay	O
	ishode	ishod	Ncmpa	O
	.	.	Z	O
Sentence: 28	"	"	Z	O
	Ovde	ovde	Rgp	O
	je	biti	Var3s	O
	glavni	glavni	Agpmsny	O
	problem	problem	Ncmsn	O
	nepostojanje	nepostojanje	Ncnsn	O
	pravih	prav	Agpmpgy	O
	sindikata	sindikat	Ncmpg	O
	.	.	Z	O
Sentence: 29	Radnici	radnik	Ncmpn	O
	nisu	biti	Var3p	O
	mogli	moći	Vmp-pm	O
	da	da	Cs	O
	ispregovaraju	ispregovarati	Vmr3p	O
	sporazum	sporazum	Ncmsan	O
	koji	koji	Pi-msn	O
	omogućava	omogućavati	Vmr3s	O
	lakšu	lak	Agcfsay	O
	tranziciju	tranzicija	Ncfsa	O
	.	.	Z	O
Sentence: 30	Toliko	toliko	Rgp	O
	je	biti	Var3s	O
	radnika	radnik	Ncmpg	O
	otpušteno	otpustiti	Appnsny	O
	.	.	Z	O
Sentence: 31	Kada	kada	Rgp	O
	su	biti	Var3p	O
	u	u	Sl	O
	pitanju	pitanje	Ncnsl	O
	oni	onaj	Pd-mpn	O
	koji	koji	Pi-mpn	O
	i	i	Cc	O
	dalje	daleko	Rgc	O
	rade	raditi	Vmr3p	O
	,	,	Z	O
	[	[	Z	O
	ne	ne	Qz	O
	postoji	postojati	Vmr3s	O
	]	]	Z	O
	garancija	garancija	Ncfsn	O
	za	za	Sa	O
	bezbednost	bezbednost	Ncfsa	O
	na	na	Sl	O
	radu	rad	Ncmsl	O
	.	.	Z	O
Sentence: 32	Feronikeli	Feronikeli	Npmsn	B-org
	je	biti	Var3s	O
	flagrantan	flagrantan	Agpmsnn	O
	slučaj	slučaj	Ncmsn	O
	u	u	Sl	O
	kojem	koji	Pi-msl	O
	nedostatak	nedostatak	Ncmsn	O
	političke	politički	Agpfsgy	O
	volje	volja	Ncfsg	O
	da	da	Cs	O
	se	sebe	Px--sa	O
	reši	rešiti	Vmr3s	O
	pitanje	pitanje	Ncnsa	O
	bezbednosti	bezbednost	Ncfsg	O
	na	na	Sl	O
	radu	rad	Ncmsl	O
	ugrožava	ugrožavati	Vmr3s	O
	živote	život	Ncmpa	O
	radnika	radnik	Ncmpg	O
	"	"	Z	O
	,	,	Z	O
	rekao	reći	Vmp-sm	O
	je	biti	Var3s	O
	on	on	Pp3msn	O
	za	za	Sa	O
	SETimes	SETimes	Xf	B-org
	.	.	Z	O
Sentence: 33	Poslednjih	poslednji	Agpmpgy	O
	meseci	mesec	Ncmpg	O
	povređeno	povrediti	Appnsny	O
	je	biti	Var3s	O
	više	mnogo	Rgc	O
	radnika	radnik	Ncmpg	O
	kompanije	kompanija	Ncfsg	O
	Feronikel	Feronikel	Npmsn	B-org
	na	na	Sl	O
	centralnom	centralan	Agpnsly	O
	Kosovu	Kosovo	Npnsl	B-loc
	,	,	Z	O
	što	što	Pi3n-n	O
	je	biti	Var3s	O
	primoralo	primorati	Vmp-sn	O
	predsednika	predsednik	Ncmsay	O
	parlamenta	parlament	Ncmsg	O
	Jakupa	Jakup	Npmsay	B-per
	Krasnićija	Krasnići	Npmsay	I-per
	da	da	Cs	O
	pozove	pozvati	Vmr3s	O
	na	na	Sa	O
	bolje	dobro	Rgc	O
	i	i	Cc	O
	sigurnije	sigurno	Rgc	O
	uslove	uslov	Ncmpa	O
	rada	rad	Ncmsg	O
	.	.	Z	O
Sentence: 34	Feronikel	Feronikel	Npmsn	B-org
	je	biti	Var3s	O
	privatizovan	privatizovati	Appmsnn	O
	2007.	2007.	Mdo	O
	godine	godina	Ncfsg	O
	.	.	Z	O
Sentence: 35	Kazna	kazna	Ncfsn	O
	medijskom	medijski	Agpmsdy	O
	mogulu	mogul	Ncmsd	O
	obnovila	obnoviti	Vmp-sf	O
	debatu	debata	Ncfsa	O
	u	u	Sl	O
	Makedoniji	Makedonija	Npfsl	B-loc
Sentence: 36	Neki	neki	Pi-mpn	O
	tvrde	tvrditi	Vmr3p	O
	da	da	Cs	O
	je	biti	Var3s	O
	presuda	presuda	Ncfsn	O
	Veliji	Velija	Npmsd	B-per
	Ramkovskom	Ramkovski	Npmsd	I-per
	napad	napad	Ncmsn	O
	na	na	Sa	O
	slobodu	sloboda	Ncfsa	O
	medija	medij	Ncmpg	O
	,	,	Z	O
	ali	ali	Cc	O
	drugi	drugi	Mlompn	O
	tvrde	tvrditi	Vmr3p	O
	da	da	Cs	O
	dokazi	dokaz	Ncmpn	O
	o	o	Sl	O
	njegovim	njegov	Ps3npl	O
	krivičnim	krivični	Agpmply	O
	delima	deo	Ncmpl	O
	govore	govoriti	Vmr3p	O
	suprotno	suprotno	Rgp	O
	.	.	Z	O
Sentence: 37	Medijski	medijski	Agpmsny	O
	mogul	mogul	Ncmsn	O
	Velija	Velija	Npfsn	B-per
	Ramkovski	Ramkovski	Npfsn	I-per
	osuđen	osuditi	Appmsnn	O
	je	biti	Var3s	O
	na	na	Sa	O
	13	13	Mdc	O
	godina	godina	Ncfpg	O
	zatvora	zatvor	Ncmsg	O
	zbog	zbog	Sg	O
	utaje	utaja	Ncfsg	O
	poreza	porez	Ncmsg	O
	i	i	Cc	O
	pranja	pranje	Ncnsg	O
	novca	novac	Ncmsg	O
	.	.	Z	O
Sentence: 38	Krivična	krivični	Agpfsny	O
	presuda	presuda	Ncfsn	O
	i	i	Cc	O
	zatvorska	zatvorski	Agpfsny	O
	kazna	kazna	Ncfsn	O
	medijskom	medijski	Agpmsdy	O
	mogulu	mogul	Ncmsd	O
	Veliji	Velija	Npmsd	B-per
	Ramkovskom	Ramkovski	Npmsd	I-per
	,	,	Z	O
	koji	koji	Pi-msn	O
	je	biti	Var3s	O
	često	često	Rgp	O
	kritikovao	kritikovati	Vmp-sm	O
	makedonsku	makedonski	Agpfsay	O
	vladu	vlada	Ncfsa	O
	,	,	Z	O
	mogla	moći	Vmp-sf	O
	bi	biti	Vaa3s	O
	da	da	Cs	O
	zaplaši	zaplašiti	Vmr3s	O
	medije	medij	Ncmpa	O
	,	,	Z	O
	kažu	kazati	Vmr3p	O
	novinari	novinar	Ncmpn	O
	u	u	Sl	O
	toj	taj	Pd-fsl	O
	maloj	mali	Agpfsly	O
	balkanskoj	balkanski	Agpfsly	O
	državi	država	Ncfsl	O
	.	.	Z	O
Sentence: 39	Ramkovski	Ramkovski	Npmsn	B-per
	,	,	Z	O
	bivši	bivši	Agpmsny	O
	vlasnik	vlasnik	Ncmsn	O
	televizijske	televizijski	Agpfsgy	O
	stanice	stanica	Ncfsg	O
	A1	a1	Xf	B-org
	,	,	Z	O
	četiri	četiri	Mlc	O
	novine	novina	Ncfpn	O
	i	i	Cc	O
	drugih	drugi	Mlonpg	O
	preduzeća	preduzeće	Ncnpg	O
	,	,	Z	O
	osuđen	osuditi	Appmsnn	O
	je	biti	Var3s	O
	u	u	Sl	O
	krivičnom	krivični	Agpmsly	B-org
	sudu	sud	Ncmsl	I-org
	u	u	Sl	I-org
	Skoplju	Skoplje	Npnsl	I-org
	14.	14.	Mdo	O
	marta	mart	Ncmsg	O
	na	na	Sa	O
	13	13	Mdc	O
	godina	godina	Ncfpg	O
	zatvora	zatvor	Ncmsg	O
	,	,	Z	O
	zbog	zbog	Sg	O
	pranja	pranje	Ncnsg	O
	novca	novac	Ncmsg	O
	,	,	Z	O
	kriminalne	kriminalan	Agpfsgy	O
	zavere	zavera	Ncfsg	O
	,	,	Z	O
	zloupotrebe	zloupotreba	Ncfsg	O
	položaja	položaj	Ncmsg	O
	i	i	Cc	O
	utaje	utaja	Ncfsg	O
	poreza	porez	Ncmsg	O
	;	;	Z	O
	19	19	Mdc	O
	saučesnika	saučesnik	Ncmpg	O
	dobilo	dobiti	Vmp-sn	O
	je	biti	Var3s	O
	zatvorske	zatvorski	Agpfpay	O
	kazne	kazna	Ncfpa	O
	u	u	Sl	O
	trajanju	trajanje	Ncnsl	O
	dve	dva	Mlcf-n	O
	do	do	Sg	O
	sedam	sedam	Mlc	O
	godina	godina	Ncfpg	O
	.	.	Z	O
Sentence: 40	A1	a1	Xf	B-org
	TV	TV	Ncmsn	I-org
	i	i	Cc	O
	četiri	četiri	Mlc	O
	novine	novine	Ncfpn	O
	zatvoreni	zatvoriti	Appmpny	O
	su	biti	Var3p	O
	zato	zato	Cs	O
	što	što	Cs	O
	nisu	biti	Var3p	O
	plaćali	plaćati	Vmp-pm	O
	porez	porez	Ncmsan	O
	,	,	Z	O
	niti	niti	Cc	O
	ispunjavali	ispunjavati	Vmp-pm	O
	obaveze	obaveza	Ncfpa	O
	prema	prema	Sl	O
	kreditorima	kreditor	Ncmpl	O
